Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.029918,-1.7786E-06,-0.025244,0,0,0,0.62,0.0014316,2.0189E-08,-7.4946E-05,0.0022988,-3.8781E-09,0.0023924,0,0,0,0,0,0,package://crazydog_urdf/meshes/base_link.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/base_link.STL,,複製 of base_link^組合件1-1,座標系統18,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_hip_fix,-0.071968,-0.056165,-9.0424E-05,0,0,0,0.536,0.00021465,2.2372E-07,-2.4475E-07,0.00012408,-3.0046E-07,0.00012018,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_hip_fix.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_hip_fix.STL,,複製 of hip_r^組合件1-1,座標系統18,,R_hip_fix,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
R_hip,0.050012,-0.00066363,-8.4178E-05,0,0,0,0.573,0.00013072,3.3092E-06,3.5562E-07,0.00024737,2.3793E-07,0.00015128,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_hip.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_hip.STL,,複製 of hip1_r^組合件1-1,座標系統10,Axis_baselink2R_hip,baselink2R_hip,continuous,-0.0532503843026156,-0.0562499999999237,0,0,0,0,R_hip_fix,1,0,0,,,,,,,,,,,,
R_thigh,-6.2352E-05,-0.039508,-0.021371,0,0,0,0.9105,0.0014519,3.2371E-07,1.5994E-08,0.0014985,-0.00020329,0.00038047,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_thigh.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_thigh.STL,,複製 of thight_r^組合件1-1,座標系統13,Axis_R_hip2R_thigh,R_hip2R_thigh,continuous,0.0532503843026156,-0.0199500639394125,0,0,0,0,R_hip,0,1,0,,,,,,,,,,,,
R_calf,1.5378E-05,-0.0082389,-0.16157,0,0,0,0.555,0.001409,-6.9198E-08,-1.1379E-06,0.0014225,-9.5527E-05,8.2502E-05,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_calf.STL,1,1,1,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_calf.STL,,複製 of calf_all_component_1^組合件1-1,座標系統15,Axis_R_thigh2R_calf,R_thigh2R_calf,continuous,0,-0.0637999997592934,-0.21499974091937,0,0,0,R_thigh,0,1,0,,,,,,,,,,,,
R_wheel,-1.6115E-14,-0.0042663,-5.2525E-13,0,0,0,0.2805,0.00029524,1.812E-19,2.5527E-19,0.00057738,-9.2577E-19,0.00029524,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_wheel.STL,0.15294,0.15294,0.15294,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/R_wheel.STL,,複製 of 輪子_1^組合件1-1,座標系統17,Axis_R_calf2R_wheel,R_calf2R_wheel,continuous,0,-0.0245499999999997,-0.214999987347139,0,0,0,R_calf,0,1,0,,,,,,,,,,,,
L_hip_fix,-0.071968,0.056335,-9.0424E-05,0,0,0,0.536,0.00021465,2.2372E-07,-2.4475E-07,0.00012408,-3.0046E-07,0.00012018,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_hip_fix.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_hip_fix.STL,,複製 of hip_l^組合件1-1,座標系統18,,L_hip_fix,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L_hip,0.050012,0.00066363,-8.4173E-05,0,0,0,0.573,0.00013072,-3.3093E-06,3.5551E-07,0.00024737,-2.3794E-07,0.00015128,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_hip.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_hip.STL,,複製 of hip1_l^組合件1-1,座標系統9,Axis_baselink2L_hip,baselink2L_hip,continuous,-0.0532503843026153,0.0562500000000755,0,0,0,0,L_hip_fix,1,0,0,,,,,,,,,,,,
L_thigh,-6.238E-05,0.039508,-0.021371,0,0,0,0.9105,0.0014519,-3.2377E-07,1.5912E-08,0.0014985,0.00020329,0.00038047,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_thigh.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_thigh.STL,,複製 of thight1_l^組合件1-1,座標系統11,Axis_L_hip2L_thigh,L_hip2L_thigh,continuous,0.0532503843026148,0.0199500639396405,0,0,0,0,L_hip,0,1,0,,,,,,,,,,,,
L_calf,1.6296E-05,0.0082388,-0.16158,0,0,0,0.555,0.0014089,7.03E-08,-1.1423E-06,0.0014225,9.5525E-05,8.2514E-05,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_calf.STL,1,1,1,1,0,0,0,0,0,0,package://crazydog_urdf/meshes/L_calf.STL,,複製 of calf_all_component^組合件1-1,座標系統14,Axis_L_thigh2L_calf,L_thigh2L_calf,continuous,0,0.0637999997593029,-0.214999740919375,0,0,0,L_thigh,0,1,0,,,,,,,,,,,,
